2,C,3
1,B,2
1,B,2
4,E,2
1,D,4
1,B,2
0,A,1
4,E,2
0,A,1
0,A,1
2,C,3
1,B,2
4,E,2
4,E,2
1,D,4
1,D,4
0,A,1
1,D,4
2,C,3
1,B,2
4,E,2
2,C,3
1,B,2
1,B,2
2,C,3
0,A,1
1,D,4
1,B,2
1,D,4
0,A,1
1,D,4
1,D,4
2,C,3
1,B,2
1,B,2
2,C,3
1,B,2
1,D,4
4,E,2
1,D,4
0,A,1
1,D,4
1,D,4
1,D,4
1,D,4
1,D,4
1,D,4
4,E,2
4,E,2
0,A,1
1,B,2
4,E,2
1,B,2
2,C,3
2,C,3
1,B,2
1,B,2
1,B,2
2,C,3
0,A,1
2,C,3
2,C,3
4,E,2
2,C,3
1,B,2
0,A,1
1,B,2
4,E,2
4,E,2
1,B,2
1,B,2
1,B,2
4,E,2
2,C,3
1,B,2
0,A,1
1,B,2
0,A,1
1,D,4
0,A,1
0,A,1
4,E,2
1,D,4
1,B,2
2,C,3
2,C,3
4,E,2
2,C,3
1,D,4
1,B,2
0,A,1
4,E,2
0,A,1
1,B,2
0,A,1
2,C,3
4,E,2
0,A,1
4,E,2
1,B,2
1,D,4
1,B,2
2,C,3
1,D,4
4,E,2
1,B,2
0,A,1
1,D,4
1,B,2
1,D,4
4,E,2
0,A,1
2,C,3
0,A,1
1,D,4
1,B,2
0,A,1
0,A,1
1,B,2
4,E,2
1,B,2
0,A,1
0,A,1
4,E,2
4,E,2
4,E,2
4,E,2
0,A,1
2,C,3
0,A,1
2,C,3
2,C,3
4,E,2
4,E,2
0,A,1
4,E,2
2,C,3
2,C,3
1,B,2
2,C,3
1,B,2
1,D,4
4,E,2
4,E,2
4,E,2
4,E,2
2,C,3
4,E,2
1,B,2
4,E,2
4,E,2
